date,tweet,hashtags
2020-10-07,"Health officials assured that the man has tested negative for coronavirus and was showing no symptoms.
https://t.co/gAwo4qdmed",[]
2020-10-07,"""What actually works to reduce spread of the virus is social distancing, wearing a mask, avoiding indoor events ... and the White House has been doing none of those things,"" an expert said.
https://t.co/IS703LuY2M",[]
2020-10-07,"""If he still has COVID, we shouldn’t have a debate,"" Biden told reporters after a campaign stop in Pennsylvania.

https://t.co/QP0VwLGtPR",[]
2020-10-06,"Your #CoronavirusPandemic update:

🇺🇸 Trump reporting ‘no symptoms’ of coronavirus, White House doctor says

🪖 More than 220 cases of coronavirus reported among Canadian military members

🏒NHL says targeted start date for 2020-21 season now Jan. 1

MORE: https://t.co/Y5cidMI5x2",['coronaviruspandemic']
2020-10-06,"In an update released on Tuesday, the force said to date, 222 of its members have tested positive for COVID-19.

https://t.co/EyIlAcsaYH",[]
2020-10-06,"Less than a day after being released from the hospital for coronavirus treatment, Trump tweeted that Americans should ""live"" with the virus citing the upcoming flu season as an example.

https://t.co/Q4msLD5Vvr",[]
2020-10-06,"The pandemic has led to 81,014 cases to date in the province. 

https://t.co/7KsFUy4zpj",[]
2020-10-06,"Several Secret Service agents expressed concern over the cavalier attitude the White House has taken when it comes to masks and distancing. Colleagues, they said, are angry, but feel there’s little they can do.
https://t.co/P6cQcFmOSB",[]
2020-10-06,"“Global solidarity and international co-operation are the most powerful weapons in fighting and overcoming COVID-19,” the joint statement said.
https://t.co/K2A4iKVEkk",[]
2020-10-05,"Your #CoronavirusPandemic update:

🇨🇦Canada adds 2,206 coronavirus cases, highest daily increase

🌬️CDC backtracks, says virus could be spread through airborne transmission

🇺🇸Majority of Americans blame coronavirus on U.S. government, poll shows

More: https://t.co/Y5cidMZGoA https://t.co/ZvZWe1s0eX",['coronaviruspandemic']
2020-10-05,"U.S. President Donald Trump leaves Walter Reed Medical Centre, after receiving treatment for COVID-19.

READ: https://t.co/9D3RVGP0qY https://t.co/V8L5fXX98e",[]
2020-10-05,"Justice Minister David Lametti introduced an identical bill last February but it didn't get beyond the initial stage of the legislative process before the House of Commons adjourned in mid-March due to the COVID-19 pandemic.

https://t.co/lHdIG0kM4b",[]
2020-10-05,"The CDC said some people could get infected by exposure to the novel coronavirus in small droplets and particles, or aerosols, that can linger in the air for minutes to hours.

https://t.co/WyT3H5D8zL",[]
2020-10-05,"#BREAKING: U.S. President Donald Trump will leave the hospital where he has been receiving treatment for coronavirus on Monday evening.

https://t.co/S33IyZsYia",['breaking']
2020-10-05,"Searching for old fashioned mason jars? You may be in a pickle this year with demand skyrocketing amid the pandemic...

https://t.co/vqRhmqxvUn",[]
2020-10-05,"Watch Live: Donald Trump's doctors provide update on his coronavirus treatment

https://t.co/txp3SzGaok",[]
2020-10-05,"White House physicians have given Trump a mixture of medications, including a steroid drug only given to people with severe COVID-19.

https://t.co/G1zlxC1q3H",[]
2020-10-05,"Watch Live: MPs expected to debate coronavirus response in Question Period

https://t.co/kNMK1Z4GVE",[]
2020-10-05,"High school students in affected areas will be required to wear masks in the classroom and on school grounds at all times starting Thursday.

https://t.co/1FttASWu52",[]
2020-10-05,"The talks come weeks ahead of the U.S. presidential election and amid escalating tensions between the U.S. and China over the novel coronavirus, trade, technology, Hong Kong, Taiwan and human rights.

https://t.co/MOYJiVVT8u",[]
2020-10-05,"In COVID-19, Canada is witnessing a systemic, preventable failure to learn from the 2003 SARS outbreak.""

https://t.co/cfMrbADYJg",[]
2020-10-05,"“Teachers need more support in terms of addressing the challenges that they’re facing with respect to the effects of the pandemic,” said the president of the Association of Canadian Studies.

https://t.co/zy59E3Dl5k",[]
2020-10-05,"Takada's death came at the tail end of Paris Fashion Week, whose nine-day calendar is undertaking an unusual fashion season for spring-summer 2021 because of the coronavirus pandemic.
https://t.co/5RD1y7Rc8C",[]
2020-10-04,"The former vice president and his aides have used his Republican rival's positive test to underline a consistent campaign message: Biden would handle the pandemic better than Trump.
https://t.co/8g0Kd8UAbE",[]
2020-10-04,"Canada's Employment Minister said a broader economic shutdown like what happened earlier this year is not inevitable, but that Canadians must act now to slow the spread of COVID-19.

Are you concerned about the possibility of an economic shutdown?

More: https://t.co/OBISzPPvFl",[]
2020-10-04,"“It’s been a very interesting journey. I learned a lot about COVID,” Donald Trump said, standing in his hospital room in a video posted on social media.

https://t.co/7DU0D23snK",[]
2020-10-04,"On Friday, Canada reported over 2,000 new cases of the novel coronavirus for the first time since the beginning of the pandemic.

Do you think enough is being done to slow the spread of COVID-19 across Canada?

Read more: https://t.co/d28bG9Nxg9",[]
2020-10-04,"Your #CoronavirusPandemic update:

🥼Trump showing improvement during treatment for COVID-19 

🕋Saudi Arabia eases coronavirus restrictions, allows pilgrims to return to Mecca

⛪️Pope says market capitalism has failed in the coronavirus pandemic

More: https://t.co/Y5cidMZGoA https://t.co/rHQE70VSQP",['coronaviruspandemic']
2020-10-04,"A White House physician's comments on Sunday about the health of U.S. President Donald Trump amid his coronavirus diagnosis added a new layer of confusion even as the doctor sought to clarify contradictory statements from the day before.

https://t.co/6ZgxHYV5l2",[]
2020-10-04,"Retailers are ramping up plans for a transformed Christmas shopping season in response to the COVID-19 pandemic, with strategies to draw buyers early, step up their e-commerce game and convince consumers to buy gifts for far-flung friends and family.

https://t.co/CHn9W75oZE",[]
2020-10-04,"Pope Francis says the coronavirus pandemic has proven that the “magic theories” of market capitalism have failed and that the world needs a new type of politics that promotes dialogue and solidarity and rejects war at all costs.

https://t.co/NWuw59gO5u",[]
2020-10-04,"Alec Baldwin returned to play Trump before the president's COVID diagnosis, while Jim Carrey made his feature debut as Biden.

https://t.co/ptvOLYob6T",[]
2020-10-03,"Here's where Donald Trump went, and what he did, prior to being diagnosed with COVID-19. https://t.co/tFgWXtUIz6",[]
