date,Changes
2020-09-01,21.0
2020-09-02,72.0
2020-09-03,61.0
2020-09-04,-260.0
2020-09-05,29.0
2020-09-06,-153.0
2020-09-07,1359.0
2020-09-08,-1060.0
2020-09-09,84.0
2020-09-10,72.0
2020-09-11,-187.0
2020-09-12,3.0
2020-09-13,833.0
2020-09-14,-558.0
2020-09-15,151.0
2020-09-16,176.0
2020-09-17,-76.0
2020-09-18,-181.0
2020-09-19,12.0
2020-09-20,891.0
2020-09-21,-518.0
2020-09-22,-158.0
2020-09-23,251.0
2020-09-24,21.0
2020-09-25,-147.0
2020-09-26,239.0
2020-09-27,722.0
2020-09-28,-516.0
2020-09-29,137.0
2020-09-30,-20.0
2020-10-01,347.0
2020-10-02,-312.0
2020-10-03,-127.0
2020-10-04,1119.0
2020-10-05,-441.0
2020-10-06,-563.0
2020-10-07,636.0
2020-10-08,122.0
