date,Changes,NormalChange,Label
2020-05-05,176.0,0.5806451612903226,0
2020-05-06,-24.0,0.5097483161999291,0
2020-05-07,86.0,0.5487415809996455,0
2020-05-08,-244.0,0.43176178660049636,2
2020-05-09,-122.0,0.47500886210563636,0
2020-05-10,-13.0,0.5136476426799008,0
2020-05-11,43.0,0.533498759305211,0
2020-05-12,-55.0,0.49875930521091816,0
2020-05-13,89.0,0.5498050336760014,0
2020-05-14,-85.0,0.48812477844735913,0
2020-05-15,126.0,0.5629209500177242,0
2020-05-16,-113.0,0.47819922013470406,0
2020-05-17,-68.0,0.4941510102800426,0
2020-05-18,-30.0,0.5076214108472173,0
2020-05-19,-29.0,0.5079758950726693,0
2020-05-20,190.0,0.5856079404466502,0
2020-05-21,-45.0,0.5023041474654378,0
2020-05-22,-15.0,0.5129386742289969,0
2020-05-23,-63.0,0.49592343140730244,0
2020-05-24,-66.0,0.4948599787309465,0
2020-05-25,-76.0,0.49131513647642683,0
2020-05-26,-64.0,0.49556894718185046,0
2020-05-27,121.0,0.5611485288904644,0
2020-05-28,-87.0,0.48741580999645523,0
2020-05-29,-134.0,0.47075505140021273,0
2020-05-30,-15.0,0.5129386742289969,0
2020-05-31,1.0,0.5186104218362283,0
2020-06-01,-53.0,0.4994682736618221,0
2020-06-02,-30.0,0.5076214108472173,0
2020-06-03,-34.0,0.5062034739454094,0
2020-06-04,-32.0,0.5069124423963134,0
2020-06-05,113.0,0.5583126550868487,0
2020-06-06,-80.0,0.48989719957461897,0
2020-06-07,-97.0,0.48387096774193555,0
2020-06-08,-136.0,0.47004608294930883,0
2020-06-09,63.0,0.5405884438142503,0
2020-06-10,-67.0,0.4945054945054946,0
2020-06-11,8.0,0.5210918114143921,0
2020-06-12,54.0,0.5373980857851826,0
2020-06-13,-90.0,0.4863523573200993,0
2020-06-14,-17.0,0.5122297057780929,0
2020-06-15,-40.0,0.5040765685926977,0
2020-06-16,66.0,0.5416518964906062,0
2020-06-17,-19.0,0.511520737327189,0
2020-06-18,42.0,0.533144275079759,0
2020-06-19,-19.0,0.511520737327189,0
2020-06-20,-72.0,0.49273307337823474,0
2020-06-21,-18.0,0.511875221552641,0
