date,Changes
2020-01-01,0.0
2020-01-02,0.0
2020-01-03,0.0
2020-01-04,0.0
2020-01-05,0.0
2020-01-06,0.0
2020-01-07,0.0
2020-01-08,0.0
2020-01-09,0.0
2020-01-10,0.0
2020-01-11,0.0
2020-01-12,0.0
2020-01-13,0.0
2020-01-14,0.0
2020-01-15,0.0
2020-01-16,0.0
2020-01-17,0.2857142857142857
2020-01-18,0.2857142857142857
2020-01-19,0.2857142857142857
2020-01-20,0.2857142857142857
2020-01-21,0.2857142857142857
2020-01-22,0.2857142857142857
2020-01-23,0.2857142857142857
2020-01-24,0.2857142857142857
2020-01-25,0.5
2020-01-26,0.5
2020-01-27,0.5
2020-01-28,0.5
2020-01-29,0.5
2020-01-30,0.5
2020-01-31,-3.7857142857142856
2020-02-01,0.21428571428571427
2020-02-02,0.2857142857142857
2020-02-03,0.2857142857142857
2020-02-04,0.2857142857142857
2020-02-05,0.2857142857142857
2020-02-06,0.2857142857142857
2020-02-07,0.35714285714285715
2020-02-08,-2.857142857142857
2020-02-09,0.14285714285714285
2020-02-10,0.21428571428571427
2020-02-11,0.2857142857142857
2020-02-12,0.35714285714285715
2020-02-13,0.42857142857142855
2020-02-14,0.42857142857142855
2020-02-15,0.5714285714285714
2020-02-16,0.1428571428571428
2020-02-17,1.1428571428571428
2020-02-18,1.7857142857142858
2020-02-19,1.7857142857142858
2020-02-20,2.642857142857143
2020-02-21,2.0
2020-02-22,3.4285714285714284
2020-02-23,3.7857142857142856
2020-02-24,3.7857142857142856
2020-02-25,3.7142857142857144
2020-02-26,5.5
2020-02-27,8.142857142857142
2020-02-28,11.857142857142858
2020-02-29,11.142857142857142
2020-03-01,7.357142857142858
2020-03-02,22.642857142857142
2020-03-03,20.071428571428573
2020-03-04,40.285714285714285
2020-03-05,47.142857142857146
2020-03-06,62.07142857142857
2020-03-07,87.85714285714286
2020-03-08,95.64285714285714
2020-03-09,128.85714285714286
2020-03-10,193.92857142857142
2020-03-11,210.14285714285714
2020-03-12,240.71428571428572
2020-03-13,284.14285714285717
2020-03-14,353.2857142857143
2020-03-15,374.92857142857144
2020-03-16,418.85714285714283
2020-03-17,480.1428571428571
2020-03-18,487.0
2020-03-19,467.57142857142856
2020-03-20,692.7857142857143
2020-03-21,528.2142857142857
2020-03-22,902.9285714285714
2020-03-23,421.1428571428571
2020-03-24,377.92857142857133
2020-03-25,517.2857142857142
2020-03-26,560.4285714285713
2020-03-27,601.0714285714287
2020-03-28,542.0714285714287
2020-03-29,461.6428571428571
2020-03-30,124.07142857142867
2020-03-31,211.5
2020-04-01,275.57142857142867
2020-04-02,-326.5
2020-04-03,127.92857142857133
2020-04-04,22.28571428571422
2020-04-05,-231.28571428571422
2020-04-06,285.2857142857142
2020-04-07,236.07142857142867
2020-04-08,100.92857142857133
2020-04-09,48.64285714285711
2020-04-10,169.8571428571429
2020-04-11,404.0
2020-04-12,543.0
2020-04-13,333.0
2020-04-14,257.2142857142858
2020-04-15,340.2857142857142
2020-04-16,-57.85714285714289
2020-04-17,-136.5
2020-04-18,198.57142857142867
2020-04-19,331.42857142857133
2020-04-20,-334.92857142857133
2020-04-21,96.42857142857133
2020-04-22,-103.28571428571422
2020-04-23,-290.57142857142867
2020-04-24,-167.57142857142867
2020-04-25,130.28571428571422
2020-04-26,27.07142857142867
2020-04-27,-70.64285714285711
2020-04-28,-16.64285714285711
2020-04-29,-93.78571428571422
2020-04-30,-192.42857142857133
2020-05-01,-428.42857142857133
2020-05-02,-285.1428571428571
2020-05-03,-1508.0
2020-05-04,-62.28571428571422
2020-05-05,-55.0
2020-05-06,-262.3571428571429
2020-05-07,-254.42857142857133
2020-05-08,-365.8571428571429
2020-05-09,-130.92857142857133
2020-05-10,-13.78571428571422
2020-05-11,-9.428571428571331
2020-05-12,-69.57142857142867
2020-05-13,-32.35714285714289
2020-05-14,-136.8571428571429
2020-05-15,-67.5
2020-05-16,-227.71428571428567
2020-05-17,-141.92857142857144
2020-05-18,-96.21428571428567
2020-05-19,-90.14285714285711
2020-05-20,-85.14285714285711
2020-05-21,-315.1428571428571
2020-05-22,-309.21428571428567
2020-05-23,-324.1428571428571
2020-05-24,-292.28571428571433
2020-05-25,-259.6428571428571
2020-05-26,-221.28571428571433
2020-05-27,-185.8571428571429
2020-05-28,-348.8571428571429
2020-05-29,-297.07142857142856
2020-05-30,-184.8571428571429
2020-05-31,-197.0
2020-06-01,-226.42857142857144
2020-06-02,-200.92857142857144
2020-06-03,-191.57142857142856
2020-06-04,-177.14285714285717
2020-06-05,-159.42857142857144
2020-06-06,-296.14285714285717
2020-06-07,-239.28571428571428
2020-06-08,-159.78571428571428
2020-06-09,-29.714285714285722
2020-06-10,-106.5
2020-06-11,-41.28571428571428
2020-06-12,-66.5
2020-06-13,-136.85714285714283
2020-06-14,-58.21428571428572
2020-06-15,-19.214285714285722
2020-06-16,18.357142857142833
2020-06-17,-75.21428571428572
2020-06-18,-41.928571428571445
2020-06-19,-90.35714285714283
2020-06-20,-83.07142857142856
2020-06-21,-18.142857142857167
2020-06-22,6.928571428571445
2020-06-23,-25.785714285714278
2020-06-24,20.357142857142833
2020-06-25,-81.28571428571428
2020-06-26,137.35714285714283
2020-06-27,70.14285714285717
2020-06-28,92.0
2020-06-29,-365.35714285714283
2020-06-30,19.857142857142833
2020-07-01,330.2142857142857
2020-07-02,-246.07142857142856
2020-07-03,8.071428571428555
2020-07-04,108.5
2020-07-05,124.07142857142856
2020-07-06,-28.285714285714278
2020-07-07,163.07142857142856
